"","ctrl_id","target","source","Similarity","Co_twins_ID.x","Individual_ID.x","Co_twins_ID.y","Individual_ID.y"
"1","co-twins","50011","50012",87.070068359375,"1","1A","1","1B"
"2","co-twins","50021","50022",74.0337753295898,"2","2A","2","2B"
"3","co-twins","50031","50032",93.6896896362305,"3","3A","3","3B"
"4","co-twins","50061","50062",99.3399658203125,"4","4A","4","4B"
"5","co-twins","50071","50072",98.4328536987305,"5","5A","5","5B"
"6","co-twins","50081","50082",97.4713439941406,"6","6A","6","6B"
"7","co-twins","50091","50092",48.1337242126465,"7","7A","7","7B"
"8","co-twins","50101","50102",58.1264724731445,"8","8A","8","8B"
"9","co-twins","50131","50132",7.20857095718384,"9","9A","9","9B"
"10","co-twins","50151","50152",99.5797729492188,"10","10A","10","10B"
"11","co-twins","50171","50172",53.0289840698242,"11","11A","11","11B"
"12","co-twins","50181","50182",92.6692886352539,"12","12A","12","12B"
"13","co-twins","50191","50192",99.359016418457,"13","13A","13","13B"
"14","co-twins","50201","50202",34.4175224304199,"14","14A","14","14B"
"15","co-twins","50221","50222",98.2106704711914,"15","15A","15","15B"
"16","co-twins","50231","50232",99.7750854492188,"16","16A","16","16B"
"17","co-twins","50241","50242",99.3783340454102,"17","17A","17","17B"
"18","co-twins","50251","50252",99.267219543457,"18","18A","18","18B"
"19","co-twins","50261","50262",43.2694625854492,"19","19A","19","19B"
"20","co-twins","50271","50272",28.9261608123779,"20","20A","20","20B"
"21","co-twins","50281","50282",98.9664916992188,"21","21A","21","21B"
"22","co-twins","50291","50292",98.6078186035156,"22","22A","22","22B"
"23","co-twins","50311","50312",99.2901000976562,"23","23A","23","23B"
"24","co-twins","50331","50332",97.9373245239258,"24","24A","24","24B"
"25","co-twins","50341","50342",75.7274932861328,"25","25A","25","25B"
"26","co-twins","50351","50352",67.3563461303711,"26","26A","26","26B"
"27","co-twins","50361","50362",99.4766082763672,"27","27A","27","27B"
"28","co-twins","50371","50372",99.5717926025391,"28","28A","28","28B"
"29","co-twins","50391","50392",95.1373901367188,"29","29A","29","29B"
"30","co-twins","50401","50402",99.8988265991211,"30","30A","30","30B"
"31","co-twins","50421","50422",23.4166126251221,"31","31A","31","31B"
"32","co-twins","50431","50432",99.4016189575195,"32","32A","32","32B"
"33","co-twins","50441","50442",66.5619049072266,"33","33A","33","33B"
"34","co-twins","50461","50462",99.6986083984375,"34","34A","34","34B"
"35","co-twins","50471","50472",84.3197402954102,"35","35A","35","35B"
"36","co-twins","50481","50482",98.8306427001953,"36","36A","36","36B"
"37","co-twins","50491","50492",98.5937042236328,"37","37A","37","37B"
"38","co-twins","50501","50502",67.544075012207,"38","38A","38","38B"
"39","co-twins","50521","50522",61.1841812133789,"39","39A","39","39B"
"40","co-twins","50531","50532",62.5559577941895,"40","40A","40","40B"
"41","co-twins","50541","50542",20.3946418762207,"41","41A","41","41B"
"42","co-twins","50551","50552",97.380126953125,"42","42A","42","42B"
"43","co-twins","50571","50572",99.6638336181641,"43","43A","43","43B"
"44","co-twins","50581","50582",79.2905120849609,"44","44A","44","44B"
"45","co-twins","50591","50592",99.5947341918945,"45","45A","45","45B"
"46","co-twins","50601","50602",86.850212097168,"46","46A","46","46B"
"47","co-twins","50611","50612",99.8627777099609,"47","47A","47","47B"
"48","co-twins","50621","50622",99.5279159545898,"48","48A","48","48B"
"49","co-twins","50641","50642",56.3280944824219,"49","49A","49","49B"
"50","co-twins","50651","50652",56.878589630127,"50","50A","50","50B"
"51","co-twins","50661","50662",97.8845138549805,"51","51A","51","51B"
"52","co-twins","50671","50672",76.3817520141602,"52","52A","52","52B"
"53","co-twins","50681","50682",65.0429229736328,"53","53A","53","53B"
"54","co-twins","50691","50692",98.4098052978516,"54","54A","54","54B"
"55","co-twins","50701","50702",99.5099639892578,"55","55A","55","55B"
"56","co-twins","50721","50722",99.7447738647461,"56","56A","56","56B"
"57","co-twins","50731","50732",88.3200378417969,"57","57A","57","57B"
"58","co-twins","50741","50742",54.301155090332,"58","58A","58","58B"
"59","co-twins","50751","50752",89.4720764160156,"59","59A","59","59B"
"60","co-twins","50771","50772",99.4788208007812,"60","60A","60","60B"
"61","co-twins","50781","50782",46.5635375976562,"61","61A","61","61B"
"62","co-twins","50791","50792",99.5892562866211,"62","62A","62","62B"
"63","co-twins","50811","50812",99.851676940918,"63","63A","63","63B"
"64","co-twins","50821","50822",83.8319396972656,"64","64A","64","64B"
"65","co-twins","50831","50832",98.8701553344727,"65","65A","65","65B"
"66","co-twins","50841","50842",99.28857421875,"66","66A","66","66B"
"67","co-twins","50851","50852",87.9765243530273,"67","67A","67","67B"
"68","co-twins","50861","50862",98.6955490112305,"68","68A","68","68B"
"69","co-twins","50871","50872",92.8251571655273,"69","69A","69","69B"
"70","co-twins","50881","50882",73.23828125,"70","70A","70","70B"
"71","co-twins","50891","50892",63.0877571105957,"71","71A","71","71B"
"72","co-twins","50901","50902",68.7838516235352,"72","72A","72","72B"
"73","co-twins","50951","50952",61.7345733642578,"73","73A","73","73B"
"74","co-twins","50981","50982",47.0225028991699,"74","74A","74","74B"
"75","co-twins","50991","50992",69.5309066772461,"75","75A","75","75B"
"76","co-twins","51001","51002",95.6012878417969,"76","76A","76","76B"
"77","co-twins","51021","51022",23.6965217590332,"77","77A","77","77B"
"78","co-twins","51041","51042",99.5075302124023,"78","78A","78","78B"
"79","co-twins","51051","51052",99.0122756958008,"79","79A","79","79B"
"80","co-twins","51061","51062",98.3847579956055,"80","80A","80","80B"
"81","co-twins","51091","51092",57.6711578369141,"81","81A","81","81B"
"82","co-twins","51101","51102",98.6721420288086,"82","82A","82","82B"
"83","co-twins","51111","51112",61.7670593261719,"83","83A","83","83B"
"84","co-twins","51121","51122",99.8491973876953,"84","84A","84","84B"
"85","co-twins","51131","51132",96.5312042236328,"85","85A","85","85B"
"86","co-twins","51141","51142",95.0474319458008,"86","86A","86","86B"
"87","co-twins","51161","51162",98.0359573364258,"87","87A","87","87B"
"88","co-twins","51171","51172",98.5747833251953,"88","88A","88","88B"
"89","co-twins","51181","51182",99.7439727783203,"89","89A","89","89B"
"90","co-twins","51191","51192",99.876091003418,"90","90A","90","90B"
"91","co-twins","51221","51222",98.8415451049805,"91","91A","91","91B"
"92","co-twins","51261","51262",96.5029602050781,"92","92A","92","92B"
"93","co-twins","51271","51272",97.9494094848633,"93","93A","93","93B"
"94","co-twins","51291","51292",79.7084884643555,"94","94A","94","94B"
"95","co-twins","51301","51302",98.8330841064453,"95","95A","95","95B"
"96","co-twins","51341","51342",99.0252456665039,"96","96A","96","96B"
"97","co-twins","51351","51352",69.005729675293,"97","97A","97","97B"
"98","co-twins","51361","51362",99.8826217651367,"98","98A","98","98B"
"99","co-twins","51381","51382",97.6113586425781,"99","99A","99","99B"
"100","co-twins","51401","51402",86.7085113525391,"100","100A","100","100B"
"101","co-twins","51411","51412",90.2036666870117,"101","101A","101","101B"
"102","co-twins","51431","51432",85.72265625,"102","102A","102","102B"
"103","co-twins","51441","51442",51.7960739135742,"103","103A","103","103B"
"104","co-twins","51451","51452",99.8294372558594,"104","104A","104","104B"
"105","co-twins","51461","51462",99.7753295898438,"105","105A","105","105B"
"106","co-twins","51471","51472",99.5928802490234,"106","106A","106","106B"
"107","co-twins","51481","51482",98.0753631591797,"107","107A","107","107B"
"108","co-twins","51491","51492",73.7932510375977,"108","108A","108","108B"
"109","co-twins","51531","51532",96.7127227783203,"109","109A","109","109B"
