"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136"
"ChinBottom_LeftEyeDown",0.445723516512129,0.463418524894245,0.45595697002062,0.44985546399794,0.456670934984467,0.411315571354171,0.407397655627112,0.461796521664891,0.453241339730935,0.407931140396535,0.438558892700986,0.450231839411549,0.42560336963021,0.41093548463381,0.492758940104298,0.475358468276796,0.468965239652944,0.462335996306189,0.436027181329737,0.389678421510087,0.392384345491511,0.390984245832398,0.397279531206075,0.398939827732421,0.454601976373778,0.433143390529274,0.510525788123479,0.530943949457888,0.446398569721492,0.436854073128279,0.439627223400265,0.459453352777026,0.470378266578148,0.464067196620708,0.431811068333551,0.45888113248232,0.442256476503434,0.426384470522818,0.444812830429674,0.458481276729542,0.453219046374225,0.45127164891775,0.415686813276543,0.418468625227327,0.466493824400111,0.462801190248055,0.462105599577858,0.468051719590485,0.406139733712053,0.430248010403038,0.433410869293821,0.421472420831668,0.431943047926395,0.48345016533336,0.423698263557211,0.398565958544601,0.415492885532595,0.423941514451615,0.418069279163423,0.408090616973946,0.418955886934058,0.452134378214674,0.386685919679112,0.390714723632381,0.380507744541722,0.450128469651353,0.445717268586733,0.454161814539398,0.43662515875196,0.426908496797343,0.440325293975772,0.451362404601465,0.443527060387229,0.411594306014708,0.405505620939319,0.40676917368007,0.451417820709412,0.438873436246071,0.402615118668318,0.396918854946647,0.406762360819799,0.416776312125716,0.418077691906087,0.401088485311361,0.406566162670316,0.407709926865524,0.426042288313107,0.394506352800273,0.467716802822902,0.411323160978689,0.40690793616186,0.380558842227089,0.383611486845551,0.411221630086742,0.423774037728486,0.461320241300789,0.440125285286318,0.430613741097054,0.415803513221174,0.413540926266894,0.418720729852577,0.440277329679661,0.435517454153312,0.417737921164156,0.423046191898258,0.413157077286173,0.41959456085493,0.441979525644991,0.451808349715421,0.446524122445284,0.431671121998968,0.447790557172362,0.395247593860523,0.413919644045198,0.416402490594198,0.428695470411561,0.444878222984505,0.446398569721492,0.467546008870805,0.470378266578148,0.406352010362934,0.406566162670316,0.40859511133637,0.411323160978689,0.418316618809518,0.418720729852577,0.44985546399794,0.436854073128279,0.450128469651353,0.451362404601465,0.451417820709412,0.418077691906087,0.411221630086742,0.418720729852577,0.441979525644991,0.451808349715421
"ChinBottom_LeftEyeLeft",0.486020939358127,0.507485895945074,0.500375067266702,0.492504330311844,0.49790420479953,0.449231232260364,0.445788409388551,0.502007518882523,0.491925508216513,0.443309324832909,0.477532179105259,0.493567602582383,0.463915936110041,0.452360243269149,0.536473236229932,0.517276186976467,0.511558737895886,0.504296631617668,0.475359367286387,0.424511390640892,0.429705761338597,0.418913981383933,0.426150833327572,0.434296848655573,0.495993577979664,0.47382180493936,0.559018464717916,0.580021429893315,0.488225158996151,0.479010280997487,0.481912465465245,0.501025286400484,0.512810622415713,0.507690993205281,0.47200216088266,0.500637119583014,0.483479507244631,0.463512040086099,0.486169106745308,0.498983577058727,0.496127183128621,0.49060496499259,0.45593719557407,0.457870141959387,0.50825703610892,0.508137238528115,0.507335868074382,0.513600435206645,0.448405298445507,0.467625768350522,0.472023026715811,0.460236925186745,0.46252758111301,0.513632687132689,0.462951558506586,0.436630390500191,0.455974148959099,0.464220805661869,0.457774687960924,0.444221636152933,0.447641574146162,0.480660435440255,0.420869009110072,0.427232514875895,0.415403768144053,0.490611568279528,0.485724730447135,0.499415869946179,0.477917794369517,0.467997931522053,0.481635591919215,0.49408809449091,0.482637717841869,0.449294825487914,0.443734086784106,0.444133844550959,0.491412642815547,0.477774570680972,0.43836949174186,0.430805938665591,0.44719607450313,0.457794867688673,0.456030944671482,0.438247922577038,0.445174510529268,0.446790942086356,0.46403106680562,0.429885085676289,0.507847621733439,0.449558264553794,0.445071936085676,0.416072197471607,0.420334568196824,0.448143607913714,0.460660695957455,0.50115567121815,0.477805020802323,0.466471244455047,0.455787123556256,0.453806885555425,0.456388724538825,0.477643389994595,0.474852877942617,0.457873307595836,0.459631794725523,0.450033375286769,0.455648531466054,0.480835701452967,0.491926053672284,0.48698405997907,0.470952050630869,0.489333508716666,0.43197922381855,0.454287977745233,0.452460407948749,0.467245420071883,0.486477533203379,0.488225158996151,0.510211552870253,0.512810622415713,0.445155651143841,0.445174510529268,0.446035249054246,0.449558264553794,0.456015389966516,0.456388724538825,0.492504330311844,0.479010280997487,0.490611568279528,0.49408809449091,0.491412642815547,0.456030944671482,0.448143607913714,0.456388724538825,0.480835701452967,0.491926053672284
"ChinBottom_LeftEyeRight",0.429535829322858,0.445839852083214,0.438217614652491,0.435664200979595,0.442099799641567,0.397170375056467,0.392360209741163,0.448872356871117,0.439587402652756,0.395883227984878,0.423478056222978,0.433539834495253,0.41106978923009,0.394615341601797,0.476690399814458,0.462384180750037,0.451338437618359,0.445377984899284,0.419119443010211,0.376179985707645,0.377056887386878,0.383774435170606,0.391525560482843,0.384361873237602,0.437870036278725,0.418901917057544,0.491233966428683,0.511809318144525,0.429447698925546,0.420628851761655,0.423449518366018,0.44293034969333,0.452978566797327,0.448434632309222,0.416914752803589,0.445157262946369,0.428670830434682,0.412173108906219,0.428349225169363,0.443489365546269,0.437181783605351,0.43808425651381,0.399835024265605,0.4039757239754,0.44992358066813,0.444104406726043,0.44286938294254,0.449830088325506,0.389952844745651,0.41628181752628,0.419656299400776,0.406272620389361,0.425423390431932,0.479091969055284,0.410133489866151,0.384236949534369,0.399625485418685,0.408317151545541,0.401315423977014,0.392236561559136,0.411842633057476,0.446984318531247,0.373416854814121,0.374319441281013,0.364437099038425,0.434395590288061,0.432029093421119,0.435632972527088,0.420710636677736,0.409862402880474,0.423903256202889,0.434156914830731,0.430836642064388,0.394678284358209,0.390625267776841,0.392593020915575,0.435700077516731,0.424606577999803,0.389756049694987,0.384179362429708,0.386954433891585,0.397677727685494,0.403415835596725,0.385859291595294,0.39378198188811,0.394691620092892,0.413203978508974,0.379644224359823,0.455300146247997,0.398122924435175,0.392896233097039,0.366814681268355,0.368482724123481,0.397144085880348,0.409716084226895,0.447287990891381,0.427272246189405,0.419418338114282,0.398573837443059,0.397754278918443,0.406806406451852,0.427911015731603,0.420546732813891,0.400802802886954,0.409772625255198,0.399023578674309,0.407294450203632,0.427631178574591,0.436692192898474,0.433464853982069,0.414679616136127,0.431640997837556,0.380970205616625,0.396929684212905,0.403753164961338,0.413027540247623,0.428189149306093,0.429447698925546,0.450367698443946,0.452978566797327,0.393637301184709,0.39378198188811,0.396423655076618,0.398122924435175,0.40619672163716,0.406806406451852,0.435664200979595,0.420628851761655,0.434395590288061,0.434156914830731,0.435700077516731,0.403415835596725,0.397144085880348,0.406806406451852,0.427631178574591,0.436692192898474
"ChinBottom_LeftEyeUp",0.467365494799432,0.485663905052513,0.477704159327458,0.471479310839177,0.478918485457848,0.431182530476528,0.426985895904165,0.484522522928905,0.475650655764459,0.427983339090912,0.459989229497042,0.471830182357823,0.446367582789562,0.430280587596857,0.516868386562798,0.498669706566794,0.491742483791452,0.484783318596782,0.45726432259598,0.408655814137238,0.411200785207955,0.410739841087581,0.417218406115171,0.418453284606447,0.476714081611209,0.454041660309881,0.535126419157391,0.556728328195553,0.467918892425006,0.457740266327485,0.460683383375877,0.481801217183906,0.493332409883386,0.486374223564748,0.452654410277837,0.481235652294122,0.463601257632635,0.447349969228978,0.466258967178598,0.480939497651006,0.47501580060369,0.473434648150868,0.435527193426149,0.438603473331251,0.489318782217738,0.48476225006952,0.484056215692753,0.490367797675686,0.425069871415233,0.451443269615615,0.454615829940357,0.441878461390021,0.453842864564566,0.508376415504642,0.444248621340742,0.417711332220137,0.435315507783375,0.444290228067625,0.438160484007323,0.428030085512373,0.440277985837863,0.475383166795049,0.405608745596679,0.409505735671957,0.398884474772093,0.472061899738278,0.467485792133602,0.47569479234013,0.457626697834904,0.447313325287265,0.461547269120706,0.473057325189133,0.465255725739149,0.431566751717353,0.4250218471998,0.426511197149386,0.473505896013319,0.460362413917218,0.422331492660077,0.416491387023569,0.426033839867145,0.436577365693246,0.438434088345705,0.420467418828172,0.426131076177212,0.427242405688875,0.446848152631614,0.413737007487516,0.490830301028763,0.431239284537329,0.426561839290299,0.398897283796092,0.401963729578365,0.431272966644436,0.444586987291785,0.484012198344773,0.461911704822005,0.452061328349211,0.435648349706173,0.433240769545407,0.439135085653004,0.462050937840913,0.456798108254613,0.437762342057461,0.443866680269649,0.433353240353722,0.440300779871592,0.463680266597944,0.473904770782752,0.468273665142649,0.452605382939575,0.469408011252443,0.41431153327668,0.433645397488113,0.436935997523647,0.449590924101045,0.466348672045217,0.467918892425006,0.490276783002011,0.493332409883386,0.425881726105912,0.426131076177212,0.428470532851713,0.431239284537329,0.438694867254121,0.439135085653004,0.471479310839177,0.457740266327485,0.472061899738278,0.473057325189133,0.473505896013319,0.438434088345705,0.431272966644436,0.439135085653004,0.463680266597944,0.473904770782752
"ChinBottom_LeftEyebrowLeft",0.574305817285063,0.601754531319246,0.594049484095881,0.584191710843457,0.588616939837912,0.531521672564502,0.52844884112233,0.592332768688491,0.579806513377073,0.523072931422127,0.563992734615594,0.585580187042174,0.548388268752369,0.538011046455838,0.633483118743592,0.611329779332724,0.604772811235659,0.596347480538846,0.561871330609536,0.501429941720176,0.509265348467258,0.48894263286026,0.497724312631728,0.512879257896789,0.586231744222641,0.561334545943146,0.662369031817201,0.68622490508704,0.578110191171266,0.568227343196712,0.571660969479868,0.59202956146377,0.605827036171667,0.60152527389733,0.558867668326713,0.592566801082162,0.573071794786927,0.546743996138727,0.575389080745524,0.589269472105583,0.588257018407629,0.579160423893491,0.541167086506288,0.542872796542679,0.600294601465299,0.603118012017441,0.602140672390939,0.609835029730583,0.534326182032503,0.551688234823508,0.557789723828959,0.544427293452489,0.539788166622795,0.595699893616209,0.548598533390156,0.518139744002443,0.5412751305974,0.550187951402245,0.542484655743648,0.524161920894838,0.521290888068208,0.557888640764126,0.49691169516965,0.505559225377753,0.490972776109832,0.579862014594529,0.574571438212422,0.593770435074439,0.566486741175378,0.555027355438637,0.570611376796382,0.585440490547927,0.570324966193783,0.531193632691324,0.525754061823158,0.525684070430006,0.580016878246489,0.564307095176103,0.517925180879441,0.507397649901258,0.531188755277938,0.543491884640875,0.539524805837119,0.518611701301365,0.528103474891946,0.530141772491359,0.54846751286639,0.507915388670293,0.599087894031602,0.532438126666345,0.527422773033785,0.492725380177798,0.498562398459211,0.529590731949552,0.543558732653094,0.590832515031513,0.563420460838318,0.549667642267497,0.540271378808735,0.538702643493004,0.539952514003388,0.562998120765104,0.56148800655198,0.543017507187028,0.541997240331703,0.532026774368137,0.537557293445847,0.567751587238074,0.580993983127026,0.576520641585428,0.556767381731937,0.57937557184667,0.511481945213266,0.539037672390196,0.534017862723133,0.552066085439994,0.576033852995683,0.578110191171266,0.603238740139037,0.605827036171667,0.528374676740996,0.528103474891946,0.528068571410952,0.532438126666345,0.539516570464985,0.539952514003388,0.584191710843457,0.568227343196712,0.579862014594529,0.585440490547927,0.580016878246489,0.539524805837119,0.529590731949552,0.539952514003388,0.567751587238074,0.580993983127026
"ChinBottom_LeftEyebrowRight",0.502977536731451,0.51935538141738,0.508670813204668,0.504683543049763,0.515808889250616,0.462558679509799,0.458032153998502,0.524276942020342,0.516361060835256,0.463882028314349,0.497784955669898,0.504916789438261,0.482730222058106,0.45544785129679,0.557969132926922,0.540088087739125,0.530527549164531,0.522714423243441,0.494324142604074,0.440816736318085,0.439011231116152,0.450837122018422,0.454599797761405,0.452951560524979,0.512563277461716,0.486203823018746,0.573174184815548,0.598743097237772,0.502603650015175,0.487604610034493,0.491868197157237,0.518549137379173,0.532143174350979,0.521258920704577,0.48610767337767,0.519257957690662,0.498061161304455,0.484358917977646,0.498733865610474,0.519253365119868,0.508642948634718,0.512623001228047,0.464763810748621,0.470399509760561,0.528941746226974,0.514548348233406,0.514271991523727,0.522493883931081,0.447409731916327,0.49002028077699,0.491339763919825,0.474877524508575,0.498283957443358,0.5630491068463,0.477956166464857,0.447952860894661,0.463702015171483,0.474899549697773,0.469445443772846,0.462968087898733,0.485459166299741,0.526808079096277,0.438433059130959,0.438689866023241,0.428493100075341,0.508885571529063,0.505204512818561,0.505460089052446,0.490359098340281,0.477256678289118,0.494746564286318,0.506407784752358,0.50368300827482,0.464472108877934,0.454237171359382,0.458351235666894,0.51079347702783,0.49756712258755,0.456655516877787,0.451444222502648,0.454247610967917,0.465262531703465,0.473433074563603,0.451778084882118,0.455831657684661,0.455402020377719,0.483254756963684,0.446682367025536,0.533134400776901,0.462474669949656,0.457192601595621,0.427199839858715,0.429535760850095,0.46548767667519,0.481712166659482,0.524048911692119,0.502368069921988,0.494340631055865,0.464286998190855,0.461738794563369,0.475109390480539,0.503002422208485,0.493512948389557,0.46846725263296,0.480965559613344,0.468791999209225,0.479311314256835,0.502177955176467,0.512285225934623,0.50499541930571,0.487722289163168,0.504873368880776,0.444580968786547,0.462223387414042,0.47534183617026,0.48496045940441,0.501121030958518,0.502603650015175,0.52770026103437,0.532143174350979,0.455193437808863,0.455831657684661,0.4609305842892,0.462474669949656,0.474384007549436,0.475109390480539,0.504683543049763,0.487604610034493,0.508885571529063,0.506407784752358,0.51079347702783,0.473433074563603,0.46548767667519,0.475109390480539,0.502177955176467,0.512285225934623
"ChinBottom_LeftEyebrowUp",0.548371641996725,0.569099936242332,0.55923566315793,0.551206638162148,0.560989729616611,0.505084050413982,0.500565621706173,0.567437973541403,0.558092151246938,0.501871087126894,0.540014558942762,0.552453372575539,0.523729094699283,0.50304515789736,0.606017983997646,0.58400239154397,0.577438568752908,0.569110085159568,0.537508301556346,0.479502072015636,0.48186448329533,0.481604749212247,0.487635551797803,0.491742192475232,0.559125868115523,0.531047275933885,0.626860837126326,0.652527022981216,0.548742857527839,0.535576343387285,0.539185638914045,0.56514774235118,0.57906384785949,0.569275449715369,0.530180842012706,0.563395296444777,0.542405144623017,0.525132483972109,0.546380450595351,0.564110829121905,0.556207141235939,0.554981157130548,0.510010611990381,0.51371835918886,0.574322411387836,0.567493135360022,0.567031305922059,0.574257554318877,0.49613724317445,0.52998160032387,0.53297538691016,0.518059401504567,0.531559598667807,0.595641261144386,0.520172470506919,0.489240458932957,0.509444405698589,0.520255487656561,0.513893819791064,0.503297121386856,0.516612143458483,0.557624129423185,0.476108836032272,0.480875419649755,0.468872148283789,0.553849490902637,0.547892108478342,0.556859123259201,0.536110407821993,0.524180714031956,0.541046201217754,0.55438612038832,0.545166673358655,0.507135537081813,0.497764755083899,0.499911110757065,0.555599478417648,0.539909675212419,0.495250023970577,0.48889479201865,0.500543140289996,0.512439323991816,0.514480423556512,0.493241862113673,0.498048523100078,0.499059839450364,0.523665775804166,0.486086114453322,0.575118082249594,0.504500778812887,0.499395976281822,0.467376498968146,0.471229113865909,0.505936754718393,0.522069279393433,0.56760694604777,0.541869209315972,0.530531056010799,0.510701064923948,0.507129495919896,0.514266863439104,0.542069895330188,0.535836566168688,0.513310604378271,0.520779199510373,0.508740284447326,0.516725401789998,0.544101331073272,0.556015201754471,0.548254348736837,0.531805869024155,0.550468234200179,0.485653795051506,0.508051114441296,0.512827053807153,0.52781160261595,0.546865281475727,0.548742857527839,0.575132617493432,0.57906384785949,0.497652276219192,0.498048523100078,0.50125794086871,0.504500778812887,0.51378733712588,0.514266863439104,0.551206638162148,0.535576343387285,0.553849490902637,0.55438612038832,0.555599478417648,0.514480423556512,0.505936754718393,0.514266863439104,0.544101331073272,0.556015201754471
"ChinBottom_LeftPupil",0.454828584930788,0.472992578264516,0.465680016104281,0.459704921546873,0.46675214121487,0.419933231715472,0.415900653829809,0.472528833188142,0.463181177583475,0.416840125530277,0.448351478180448,0.461320534526374,0.435411276228138,0.419764010405128,0.503292350441553,0.485579708656292,0.479046042133117,0.471873137116741,0.445564926924278,0.397949654817895,0.400631516908783,0.399688753791053,0.406082566057222,0.40747005768266,0.464835982048967,0.443111153603055,0.523355365262819,0.544632523648665,0.456937720135146,0.446721797758133,0.44971010982107,0.469698570918014,0.48150437751468,0.474367384703128,0.4415930495871,0.469579679144043,0.451758777527848,0.435634377813197,0.453972832235401,0.468202559979034,0.463052268661651,0.460687682811351,0.424612618751629,0.427417698645322,0.478054383763138,0.472441253553116,0.4718051370413,0.478093415344662,0.41509438477315,0.439948907381772,0.442977446297063,0.43066923617972,0.441914760984358,0.495269318519083,0.433217854573247,0.40712672703072,0.424885078595206,0.433343656360083,0.427399844450782,0.41685900293748,0.428467849402894,0.462333390251402,0.394845635756239,0.39890080016272,0.388380521955624,0.459613280124516,0.455471587212225,0.464168489302578,0.446409791809251,0.436167158968015,0.449847157823277,0.461484241674757,0.452943233420131,0.420627662925173,0.414033336477076,0.415456691147419,0.461153303074961,0.448347651247285,0.411402863106748,0.405512456117853,0.41573020662666,0.426131392621875,0.42718549905496,0.409844556266361,0.415609308354191,0.416614079333563,0.435563723069667,0.402726389360798,0.478386160026853,0.420468073151803,0.41588624958371,0.388424034845944,0.391396540830924,0.420298703863363,0.432748880479202,0.471250780966282,0.450438453323862,0.440366402454224,0.424697577301019,0.422580450228546,0.428230914891423,0.450228374609059,0.445787620522447,0.427382471251431,0.432250699628764,0.421769091446751,0.429094439875735,0.451925585081526,0.461784406425978,0.455831231018462,0.440553752302577,0.457685852255306,0.403405482030996,0.42345676714776,0.426029528240454,0.43806896507641,0.455452419728477,0.456937720135146,0.478210631942537,0.48150437751468,0.415327096211172,0.415609308354191,0.417765298838287,0.420468073151803,0.42767324786102,0.428230914891423,0.459704921546873,0.446721797758133,0.459613280124516,0.461484241674757,0.461153303074961,0.42718549905496,0.420298703863363,0.428230914891423,0.451925585081526,0.461784406425978
"ChinBottom_MidJawlineLeft",0.356172378733766,0.388767928002012,0.385739273122241,0.381233028495512,0.368951619710655,0.33322490416132,0.343801742046285,0.363890898970183,0.354488754971617,0.324438929345134,0.353891383912222,0.381061976844923,0.349105983932486,0.352628917575603,0.392861237165573,0.392045223163401,0.382844739621773,0.378862694576894,0.357178345749595,0.311055448774838,0.322895351378496,0.274250536886579,0.273911780739887,0.322251117289725,0.362271961895114,0.35765028430581,0.42168688274511,0.430337065460113,0.368509638937431,0.362634455951034,0.368403164530979,0.365446489579103,0.375602787258755,0.385312153665303,0.356542178538263,0.38316176356902,0.374727795468708,0.335425514733136,0.357809245706985,0.365221351529556,0.381240480506609,0.362155177845916,0.352729822111552,0.353773055887199,0.372819519641982,0.384214232557749,0.384616167835217,0.397234726814669,0.355307033954887,0.343855468887433,0.352308197045421,0.34230550628656,0.300189387663588,0.305251511413172,0.358301741238567,0.344410433953198,0.350408327355525,0.35054287221751,0.348698034578632,0.322639414891939,0.283501092038913,0.296743660778042,0.308937400887808,0.315476773732349,0.302634886716165,0.363392980638313,0.370139644762212,0.392516053793646,0.365348803326265,0.355369658004876,0.365323432359121,0.373190978116126,0.36353596412268,0.332242556658065,0.33345855241453,0.334310848458846,0.354173267272655,0.35334369701572,0.326738098712955,0.302847812896289,0.350434293367119,0.352986274434956,0.347672278129757,0.328261592557422,0.3443061057438,0.341957317652477,0.348653168336398,0.318710450398681,0.373702434992667,0.340111831998511,0.33955778547525,0.312014519401519,0.322904983572194,0.332195804544341,0.336902883299462,0.358516832073789,0.350346833666416,0.347097902324738,0.340801299915761,0.34991438913664,0.350566934784616,0.349360197798299,0.357546613455483,0.351757319701611,0.331639285326796,0.340925369168739,0.339688400659873,0.35559796437936,0.362893443195171,0.374648144691503,0.350784779756875,0.371564860412332,0.325886699284488,0.346611580873858,0.33904332133314,0.344203113063461,0.367631909671078,0.368509638937431,0.377095290581981,0.375602787258755,0.346885763840693,0.3443061057438,0.339198298838034,0.340111831998511,0.34979173339388,0.350566934784616,0.381233028495512,0.362634455951034,0.363392980638313,0.373190978116126,0.354173267272655,0.347672278129757,0.332195804544341,0.350566934784616,0.35559796437936,0.362893443195171
"ChinBottom_MidJawlineRight",0.372988857005352,0.375586478259078,0.369862883338528,0.380959443306256,0.373634912552359,0.353768316081642,0.343051120605653,0.3814262505366,0.36320313719998,0.344837917616033,0.367934656374346,0.373572179054708,0.349146680326802,0.359941501943217,0.397419251264252,0.392337825368963,0.389457207711849,0.388136305248461,0.357822115044249,0.334562168591635,0.323125685449862,0.27036508112499,0.280924951255553,0.326934667053799,0.359901197493179,0.356519379331189,0.407825137082559,0.428730647897206,0.378635104339675,0.363563343199461,0.36196274071588,0.379357092784289,0.371912999742358,0.409496735295957,0.369743439747307,0.377689574952007,0.378303266598698,0.340533504918683,0.367250412970679,0.366947329739902,0.375836103712425,0.373270606472266,0.348245336702832,0.354694752998971,0.374325284750795,0.397750415999043,0.389370836627153,0.387425716367429,0.361529908178681,0.342141316402002,0.349722194919346,0.350392827817708,0.300480770285472,0.321998345616803,0.337951184094421,0.321395068076121,0.343217057820362,0.351800423822076,0.341321805635608,0.339801289259212,0.300552426142352,0.294146996707139,0.314364611856096,0.328497834611009,0.325603360370644,0.364844575643353,0.363044383372142,0.365109552166683,0.363019683806577,0.355653976766021,0.360731614265464,0.375584968884411,0.370620007546666,0.325963600471297,0.324010843778485,0.321164722946925,0.359817288151596,0.353562611185146,0.320355730773646,0.329942550033319,0.333192619923018,0.347639103289764,0.335952256107873,0.336709782109021,0.330815953927498,0.343695432097224,0.363095029358031,0.320918907394433,0.381868636660048,0.325658526801504,0.321101335686746,0.317734176262095,0.31912111110401,0.338287807411535,0.34765024451174,0.383402015930688,0.349232714478363,0.344813574982751,0.353329505384421,0.350025642702723,0.361200435664233,0.372096980266474,0.341697508420354,0.339251406361578,0.347923781017323,0.331402158309089,0.348160068218008,0.356117622276668,0.372478321062187,0.363188034865508,0.357273386117218,0.384719050095376,0.332174071083978,0.345642914726881,0.339909803114534,0.34648213909445,0.374808910295598,0.378635104339675,0.372946053815702,0.371912999742358,0.329469591135897,0.330815953927498,0.324407543235752,0.325658526801504,0.360794385433861,0.361200435664233,0.380959443306256,0.363563343199461,0.364844575643353,0.375584968884411,0.359817288151596,0.335952256107873,0.338287807411535,0.361200435664233,0.356117622276668,0.372478321062187
